Node_ID,Main_Tag,Detailed_Tag
40491650,Generalista,Generalista_Puro
40499036,Generalista,Generalista_Puro
40503250,Generalista,Generalista
40512735,Moda_Lusso,Puro_Moda_Lusso
40524020,Generalista,Generalista
40545895,Generalista,Debole_Action_Figure
40553684,Generalista,Debole_Moda_Lusso
40572780,Generalista,Generalista_Puro
40587294,Generalista,Generalista_Puro
40607262,Generalista,Debole_Moda_Lusso
40611281,Moda_Lusso,Puro_Moda_Lusso
40615751,Generalista,Generalista_Puro
40619366,Generalista,Generalista_Puro
40622154,Generalista,Debole_Gaming_Console
40622512,Action_Figure,Puro_Action_Figure
40626108,Generalista,Debole_Action_Figure
40628682,Generalista,Debole_Action_Figure
40635684,Moda_Lusso,Puro_Moda_Lusso
40637098,Carte_TCG,Puro_Carte_TCG
40650081,Carte_TCG,Puro_Carte_TCG
40652474,Generalista,Generalista
40653104,Generalista,Generalista
40654636,Generalista,Generalista
40665357,Gaming_Console,Puro_Gaming_Console
40673645,Generalista,Debole_Carte_TCG
40676282,Generalista,Debole_Moda_Lusso
40685278,Generalista,Debole_Moda_Lusso
40685754,Generalista,Generalista_Puro
40687843,Moda_Lusso,Puro_Moda_Lusso
40688467,Generalista,Debole_Moda_Lusso
40690911,Generalista,Debole_Gaming_Console
40697683,Generalista,Debole_Gaming_Console
40697876,Moda_Lusso,Puro_Moda_Lusso
40699974,Media_Vinili,Puro_Media_Vinili
40710589,Generalista,Debole_Action_Figure
40711591,Generalista,Debole_Moda_Lusso
40716463,Multi_category,Multi_category_Moda_Lusso_Gaming_Console
40725590,Moda_Lusso,Puro_Moda_Lusso
40741593,Action_Figure,Puro_Action_Figure
40744711,Generalista,Generalista_Puro
40748964,Generalista,Generalista_Puro
40772271,Generalista,Generalista
40789935,Generalista,Generalista
40803532,Generalista,Generalista
40806419,Generalista,Debole_Action_Figure
40813797,Media_Vinili,Puro_Media_Vinili
40815712,Moda_Lusso,Puro_Moda_Lusso
40832832,Multi_category,Multi_category_Action_Figure_Gaming_Console
40837171,Moda_Lusso,Puro_Moda_Lusso
40847213,Action_Figure,Puro_Action_Figure
40854205,Generalista,Debole_Gaming_Console
40854822,Action_Figure,Puro_Action_Figure
40870910,Generalista,Generalista_Puro
40875136,Media_Vinili,Puro_Media_Vinili
40895438,Action_Figure,Puro_Action_Figure
40896756,Generalista,Generalista
40897373,Generalista,Generalista
40897951,Media_Vinili,Puro_Media_Vinili
40919806,Generalista,Generalista
40924422,Carte_TCG,Puro_Carte_TCG
40931312,Generalista,Generalista
40950715,Moda_Lusso,Puro_Moda_Lusso
40957703,Moda_Lusso,Puro_Moda_Lusso
40983684,Generalista,Generalista_Puro
41046187,Action_Figure,Puro_Action_Figure
41062019,Generalista,Generalista
41067531,Generalista,Debole_Action_Figure
41068202,Generalista,Generalista_Puro
41072453,Generalista,Generalista_Puro
41086588,Generalista,Debole_Moda_Lusso
41114770,Action_Figure,Puro_Action_Figure
41120050,Action_Figure,Puro_Action_Figure
41127955,Multi_category,Multi_category_Gaming_Console_Moda_Lusso
41128192,Action_Figure,Puro_Action_Figure
41133313,Generalista,Generalista_Puro
41146569,Carte_TCG,Puro_Carte_TCG
41147906,Moda_Lusso,Puro_Moda_Lusso
41150003,Moda_Lusso,Puro_Moda_Lusso
41164291,Carte_TCG,Puro_Carte_TCG
41164518,Generalista,Generalista
41174465,Generalista,Generalista
41188508,Generalista,Generalista
41198543,Action_Figure,Puro_Action_Figure
41201966,Generalista,Debole_Moda_Lusso
41208859,Moda_Lusso,Puro_Moda_Lusso
41210569,Moda_Lusso,Puro_Moda_Lusso
41213287,Generalista,Debole_Moda_Lusso
41215764,Generalista,Debole_Action_Figure
41219179,Generalista,Debole_Moda_Lusso
41223289,Generalista,Generalista_Puro
41228974,Moda_Lusso,Puro_Moda_Lusso
41246105,Generalista,Debole_Fumetti_Manga
41247154,Carte_TCG,Puro_Carte_TCG
41253786,Generalista,Debole_Moda_Lusso
41260817,Generalista,Debole_Gaming_Console
41262722,Generalista,Debole_Moda_Lusso
41265215,Inattivo,Inattivo
41277899,Generalista,Debole_Moda_Lusso
41279029,Generalista,Generalista_Puro
41284807,Action_Figure,Puro_Action_Figure
41324204,Moda_Lusso,Puro_Moda_Lusso
41333386,Generalista,Debole_Media_Vinili
41423984,Generalista,Generalista
41442979,Generalista,Generalista
41444569,Gaming_Console,Puro_Gaming_Console
41449323,Generalista,Generalista
41453844,Moda_Lusso,Puro_Moda_Lusso
41477450,Moda_Lusso,Puro_Moda_Lusso
41486510,Moda_Lusso,Puro_Moda_Lusso
41490416,Moda_Lusso,Puro_Moda_Lusso
41513760,Multi_category,Multi_category_Action_Figure_Gaming_Console
41519577,Generalista,Debole_Moda_Lusso
41523799,Generalista,Debole_Media_Vinili
41536504,Generalista,Debole_Moda_Lusso
41541799,Inattivo,Inattivo
41545134,Generalista,Debole_Action_Figure
41567166,Moda_Lusso,Puro_Moda_Lusso
41588050,Generalista,Generalista
41590392,Moda_Lusso,Puro_Moda_Lusso
41628600,Generalista,Debole_Fumetti_Manga
41644234,Generalista,Debole_Action_Figure
41653925,Tech_Elettronica,Puro_Tech_Elettronica
41691601,Moda_Lusso,Puro_Moda_Lusso
41691907,Generalista,Generalista
41708109,Generalista,Generalista
41710646,Multi_category,Multi_category_Fumetti_Manga_Moda_Lusso
41718959,Generalista,Generalista
41724776,Generalista,Generalista_Puro
41746974,Generalista,Generalista
41760693,Moda_Lusso,Puro_Moda_Lusso
